#COPIER ID MEAN MIN MAX
C796 796 0.67 0 1
C797 797 1.33 0 2
C798 798 1.67 1 2
C799 799 1.00 1 1
C800 800 1.33 0 3
C801 801 1.67 1 3
C802 802 1.33 1 2
C803 803 1.67 0 3
C804 804 0.33 0 1
C805 805 0.67 0 2
C806 806 0.67 0 1
C807 807 1.00 0 2
C808 808 1.00 0 2
C809 809 0.67 0 1
C810 810 0.00 0 0
C811 811 0.67 0 1
C812 812 1.00 0 2
C813 813 0.33 0 1
C814 814 0.33 0 1
C815 815 0.67 0 1
C816 816 2.33 1 3
C817 817 1.00 0 2
C818 818 1.00 1 1
C819 819 0.67 0 2
C820 820 0.67 0 1
C821 821 0.33 0 1
C822 822 1.67 1 2
C823 823 0.00 0 0
C824 824 1.33 0 4
C825 825 1.33 0 3
C826 826 1.00 0 2
C827 827 1.00 0 2
C828 828 1.00 0 2
C829 829 2.00 0 4
C830 830 1.33 1 2
C831 831 0.67 0 1
C832 832 1.33 1 2
C833 833 2.00 1 3
C834 834 1.00 1 1
C835 835 1.33 0 3
C836 836 0.67 0 1
C837 837 0.67 0 2
C838 838 2.00 1 4
C839 839 1.00 0 2
C840 840 1.33 1 2
C841 841 1.00 1 1
C842 842 0.33 0 1
C843 843 1.00 0 2
C844 844 1.00 0 2
C845 845 1.00 0 3
C846 846 0.33 0 1
C847 847 0.67 0 2
C848 848 1.33 1 2
C849 849 0.33 0 1
C850 850 1.33 0 3
C851 851 0.67 0 1
C852 852 0.67 0 1
C853 853 1.00 0 3
C854 854 1.33 0 3
C855 855 1.00 0 3
C856 856 1.33 0 3
C857 857 1.00 0 2
C858 858 1.33 1 2
C859 859 0.67 0 1
C860 860 0.67 0 1
C861 861 0.00 0 0
C862 862 0.33 0 1
C863 863 1.00 0 2
C864 864 0.33 0 1
C865 865 0.67 0 1
C866 866 1.33 0 3
C867 867 1.00 0 3
C868 868 0.67 0 1
C869 869 1.00 0 3
C870 870 1.00 0 2
C871 871 1.00 0 2
C872 872 0.33 0 1
C873 873 1.33 0 3
C874 874 1.33 1 2
C875 875 1.33 0 2
C876 876 1.33 0 3
C877 877 1.00 0 2
C878 878 0.67 0 1
C879 879 0.67 0 1
C880 880 1.67 1 2
C881 881 2.00 1 3
C882 882 1.33 1 2
C883 883 2.00 0 4
C884 884 1.67 0 3
C885 885 2.33 2 3
C886 886 0.00 0 0
C887 887 0.33 0 1
C888 888 0.33 0 1
C889 889 1.00 0 2
C890 890 1.33 0 2
C891 891 1.67 1 2
C892 892 0.67 0 2
C893 893 2.33 1 3
C894 894 1.00 0 2
C895 895 2.33 0 4
C896 896 1.00 0 2
C897 897 1.67 0 3
C898 898 3.33 3 4
C899 899 1.00 1 1
C900 900 0.33 0 1
C901 901 1.33 1 2
C902 902 0.67 0 1
C903 903 1.67 0 3
